No.,LOT_ID,WF_ID,X_AXIS,Y_AXIS,GRADE_CD,G_A,G_B,G_C,G_D,G_E,G_F,G_G,G_H,G_I,G_J,G_K,G_L,G_M,G_N,G_O,G_P,G_Q,G_R,G_S,G_T,Neighbor_A,Neighbor_B,Neighbor_C,Neighbor_D,Neighbor_E,Neighbor_F,Neighbor_G,Neighbor_H,Neighbor_I,Neighbor_J,Neighbor_K,Neighbor_L,Neighbor_M,Neighbor_N,Neighbor_O,Neighbor_P,Neighbor_Q,Neighbor_R,Neighbor_S,Neighbor_T,Weight_Base_A,Weight_Base_B,Weight_Base_C,Weight_Base_D,Weight_Base_E,Weight_Base_F,Weight_Base_G,Weight_Base_H,Weight_Base_I,Weight_Base_J,Weight_Base_K,Weight_Base_L,Weight_Base_M,Weight_Base_N,Weight_Base_O,Weight_Base_P,Weight_Base_Q,Weight_Base_R,Weight_Base_S,Weight_Base_T,Weight_Bound_A,Weight_Bound_B,Weight_Bound_C,Weight_Bound_D,Weight_Bound_E,Weight_Bound_F,Weight_Bound_G,Weight_Bound_H,Weight_Bound_I,Weight_Bound_J,Weight_Bound_K,Weight_Bound_L,Weight_Bound_M,Weight_Bound_N,Weight_Bound_O,Weight_Bound_P,Weight_Bound_Q,Weight_Bound_R,Weight_Bound_S,Weight_Bound_T,PKT_Y
93332,ABC1258,9,27,35,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104923,ABC1258,3,15,31,SQ,3,5,0,0,16,0,6,6.0,0,0,8,21,2,3,0,0,0,6,0,0,5,5,4,0,5,4,6,6.0,5,4,5,7,6,6,3,3,3,9,8,0,0.285714286,0.0,0.0,0.0,92.51785714,0.142857143,34.86904762,48.0,5.952380952,36.14285714,17.02380952,102.4047619,0.214285714,36.85714286,0.0,0.0,0.0,51.70833333,7.0,0.0,1.357142857,0.928571429,0.0,0.0,193.4464286,0.702380952,79.35714286,130.2857143,24.4047619,95.28571429,46.81547619,171.4166667,1.285714286,92.14285714,0.0,0.0,0.0,161.2083333,36.75,0.0,
115944,ABC1236,6,57,26,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,2,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.319444444,0.805555556,2.083333333,0.0,0.902777778,
35409,ABC1258,3,64,31,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,4,4,8,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52057,ABC1111,23,63,33,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,1,1,0,2,0.0,0,0,0,0,2,1,0,0,0,8,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010989011,2.208791209,0.0
10579,ABC1258,24,37,11,N1,0,0,0,0,41,0,0,0.0,0,0,0,0,0,0,22,0,0,44,30,3,2,3,2,0,5,2,2,4.0,2,0,3,1,3,1,4,1,1,6,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12815,ABC1236,20,39,39,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,1,1,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178571429,0.0,0.0
13914,ABC1236,23,62,20,SQ,0,0,0,0,0,0,8,0.0,0,11,12,8,17,8,0,0,0,26,13,0,0,0,0,0,2,0,3,0.0,0,2,3,2,2,2,2,1,1,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916666667,12.61111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,50.44444444,0.0,0.0
79165,ABC1236,23,22,17,SQ,0,0,4,0,24,0,0,0.0,0,0,0,0,0,0,0,0,0,30,47,0,0,0,1,4,5,0,0,0.0,0,0,0,0,0,0,1,3,2,9,9,4,0.0,0.0,0.0,0.0,25.2032967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.95604396,253.2527473,0.0,0.0,0.0,0.0,0.0,58.80769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923,0.0,99.71428571,234.9010989,0.0,0.0
60002,ABC1111,14,30,18,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0.0,0,1,1,0,0,0,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115053,ABC1258,17,30,26,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,1,1,0,0.0,1,1,0,0,0,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.89285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.14285714,
80422,ABC1258,19,55,38,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119876,ABC1236,12,32,28,SQ,0,0,1,0,10,2,0,0.0,6,0,0,0,1,4,0,0,0,0,0,0,1,0,3,0,2,4,0,2.0,4,2,5,2,1,4,0,0,0,4,3,0,0.333333333,0.041666667,0.069444444,0.0,1.5625,0.0,0.0,0.208333333,3.694444444,0.833333333,0.611111111,0.0,0.520833333,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.361111111,0.388888889,0.0,5.034722222,0.222222222,0.0,1.979166667,8.972222222,3.472222222,4.888888889,0.097222222,2.291666667,0.8125,0.0,0.0,0.0,0.4375,0.0,0.0,
114432,ABC1236,9,48,22,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961538462,0.0,
75445,ABC1236,6,34,41,SQ,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0,15,6,0,0,0,0,3,0,0,0,1.0,0,0,0,0,0,0,1,2,1,6,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54920,ABC1111,14,30,24,N1,4,4,0,0,4,0,0,0.0,0,4,0,2,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0.5,0,1,0,1,0,0,2,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87262,ABC1111,9,14,24,N1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,2.0,0,2,1,2,4,2,0,1,0,5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583333333,2.232142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
